date,commodity,region,minimum_price,maximum_price,modal_price,market_arrivals_tonnes,market_supply_level,rainfall_mm,temperature_c,humidity_pct,predicted_demand_kg
2024-01-01,Green Chilli,Ranchi,35.45,45.42,40.09,203.9,HIGH,0.0,18.5,49.7,196622.0
2024-01-01,Green Chilli,Jamshedpur,35.69,45.07,40.05,146.4,HIGH,0.0,18.5,49.7,128290.0
2024-01-01,Green Chilli,Dhanbad,28.49,39.52,33.62,108.1,MODERATE,0.0,18.5,49.7,114577.0
2024-01-01,Green Chilli,Bokaro,40.17,54.49,46.83,98.2,HIGH,0.0,18.5,49.7,104590.0
2024-01-01,Green Chilli,Hazaribagh,31.27,37.74,34.28,79.9,HIGH,0.0,18.5,49.7,89550.0
2024-01-01,Green Chilli,Deoghar,24.65,30.84,27.53,84.9,HIGH,0.0,18.5,49.7,86918.0
2024-01-01,Green Chilli,Dumka,23.43,31.67,27.26,59.7,HIGH,0.0,18.5,49.7,63631.0
2024-01-02,Tomato,Ranchi,17.95,21.46,19.58,165.4,HIGH,0.0,20.0,43.8,165102.0
2024-01-02,Tomato,Jamshedpur,21.21,25.62,23.26,165.9,HIGH,0.0,20.0,43.8,170262.0
2024-01-02,Tomato,Dhanbad,16.61,21.78,19.01,116.0,HIGH,0.0,20.0,43.8,110671.0
2024-01-02,Tomato,Bokaro,16.87,23.6,20.0,108.2,HIGH,0.0,20.0,43.8,107626.0
2024-01-02,Tomato,Hazaribagh,17.22,22.22,19.55,91.3,HIGH,0.0,20.0,43.8,91045.0
2024-01-02,Tomato,Deoghar,15.21,19.58,17.24,79.2,HIGH,0.0,20.0,43.8,73663.0
2024-01-02,Tomato,Dumka,14.85,19.0,16.78,56.7,HIGH,0.0,20.0,43.8,48563.0
2024-01-02,Potato,Ranchi,21.06,25.6,23.17,143.4,MODERATE,0.0,20.0,43.8,145725.0
2024-01-02,Potato,Jamshedpur,23.04,28.7,25.67,81.3,LOW,0.0,20.0,43.8,85188.0
2024-01-02,Potato,Dhanbad,23.29,28.15,25.55,102.8,MODERATE,0.0,20.0,43.8,115630.0
2024-01-02,Potato,Bokaro,20.53,26.8,23.45,58.2,LOW,0.0,20.0,43.8,55946.0
2024-01-02,Potato,Hazaribagh,19.79,24.8,22.12,53.5,LOW,0.0,20.0,43.8,60769.0
2024-01-02,Potato,Deoghar,21.26,26.36,23.63,53.2,LOW,0.0,20.0,43.8,60159.0
2024-01-02,Potato,Dumka,18.86,24.12,21.31,44.7,LOW,0.0,20.0,43.8,51303.0
2024-01-02,Onion,Ranchi,32.94,45.56,38.81,117.9,LOW,0.0,20.0,43.8,131816.0
2024-01-02,Onion,Jamshedpur,35.5,48.1,41.36,95.6,LOW,0.0,20.0,43.8,100236.0
2024-01-02,Onion,Dhanbad,33.1,44.66,38.48,87.2,LOW,0.0,20.0,43.8,80986.0
2024-01-02,Onion,Bokaro,30.32,36.75,33.31,52.6,LOW,0.0,20.0,43.8,57825.0
2024-01-02,Onion,Hazaribagh,28.21,37.11,32.35,52.7,LOW,0.0,20.0,43.8,58622.0
2024-01-02,Onion,Deoghar,28.93,39.25,33.73,54.0,MODERATE,0.0,20.0,43.8,61644.0
2024-01-02,Onion,Dumka,30.76,36.59,33.47,38.5,LOW,0.0,20.0,43.8,35378.0
2024-01-02,Green Chilli,Ranchi,37.51,45.46,41.21,195.4,HIGH,0.0,20.0,43.8,195771.0
2024-01-02,Green Chilli,Jamshedpur,29.8,36.6,32.96,139.0,HIGH,0.0,20.0,43.8,151682.0
2024-01-02,Green Chilli,Dhanbad,28.65,34.78,31.5,143.0,HIGH,0.0,20.0,43.8,126859.0
2024-01-02,Green Chilli,Bokaro,32.06,40.06,35.78,109.1,HIGH,0.0,20.0,43.8,108726.0
2024-01-02,Green Chilli,Hazaribagh,39.18,48.84,43.67,96.0,HIGH,0.0,20.0,43.8,108234.0
2024-01-02,Green Chilli,Deoghar,34.37,45.48,39.54,75.2,HIGH,0.0,20.0,43.8,66309.0
2024-01-02,Green Chilli,Dumka,31.56,44.22,37.45,65.1,HIGH,0.0,20.0,43.8,66976.0
2024-01-03,Tomato,Ranchi,18.92,25.89,22.16,197.5,HIGH,0.0,14.5,42.0,215086.0
2024-01-03,Tomato,Jamshedpur,18.89,24.88,21.68,113.0,MODERATE,0.0,14.5,42.0,125466.0
2024-01-03,Tomato,Dhanbad,17.7,22.4,19.89,160.5,HIGH,0.0,14.5,42.0,156931.0
2024-01-03,Tomato,Bokaro,13.87,17.79,15.69,100.4,HIGH,0.0,14.5,42.0,92805.0
2024-01-03,Tomato,Hazaribagh,12.11,16.54,14.17,75.1,MODERATE,0.0,14.5,42.0,66207.0
2024-01-03,Tomato,Deoghar,17.01,20.71,18.73,65.4,MODERATE,0.0,14.5,42.0,71770.0
2024-01-03,Tomato,Dumka,14.44,20.08,17.06,55.9,HIGH,0.0,14.5,42.0,50291.0
2024-01-03,Potato,Ranchi,20.77,25.15,22.81,121.6,LOW,0.0,14.5,42.0,104131.0
2024-01-03,Potato,Jamshedpur,24.18,28.97,26.41,98.7,LOW,0.0,14.5,42.0,101399.0
2024-01-03,Potato,Dhanbad,22.84,28.63,25.53,95.3,MODERATE,0.0,14.5,42.0,95429.0
2024-01-03,Potato,Bokaro,21.69,25.94,23.67,67.9,LOW,0.0,14.5,42.0,61412.0
2024-01-03,Potato,Hazaribagh,20.5,26.84,23.45,79.5,HIGH,0.0,14.5,42.0,77503.0
2024-01-03,Potato,Deoghar,19.24,26.35,22.55,46.3,LOW,0.0,14.5,42.0,40077.0
2024-01-03,Potato,Dumka,16.92,23.22,19.85,44.9,LOW,0.0,14.5,42.0,50324.0
2024-01-03,Onion,Ranchi,29.1,39.48,33.93,100.2,LOW,0.0,14.5,42.0,104483.0
2024-01-03,Onion,Jamshedpur,33.33,43.37,38.0,89.2,LOW,0.0,14.5,42.0,89581.0
2024-01-03,Onion,Dhanbad,27.88,35.34,31.35,90.6,MODERATE,0.0,14.5,42.0,94393.0
2024-01-03,Onion,Bokaro,31.44,40.51,35.66,63.8,LOW,0.0,14.5,42.0,62209.0
2024-01-03,Onion,Hazaribagh,26.36,33.32,29.6,65.1,MODERATE,0.0,14.5,42.0,61731.0
2024-01-03,Onion,Deoghar,29.88,37.32,33.34,45.9,LOW,0.0,14.5,42.0,52081.0
2024-01-03,Onion,Dumka,33.93,42.6,37.96,41.2,LOW,0.0,14.5,42.0,41638.0
2024-01-03,Green Chilli,Ranchi,34.11,46.48,39.86,234.3,HIGH,0.0,14.5,42.0,236600.0
2024-01-03,Green Chilli,Jamshedpur,31.06,41.83,36.07,156.2,HIGH,0.0,14.5,42.0,142255.0
2024-01-03,Green Chilli,Dhanbad,33.43,44.09,38.39,141.3,HIGH,0.0,14.5,42.0,124136.0
2024-01-03,Green Chilli,Bokaro,36.47,50.84,43.15,125.9,HIGH,0.0,14.5,42.0,112205.0
2024-01-03,Green Chilli,Hazaribagh,28.08,36.9,32.18,77.7,HIGH,0.0,14.5,42.0,84288.0
2024-01-03,Green Chilli,Deoghar,28.55,35.39,31.73,71.0,HIGH,0.0,14.5,42.0,72919.0
2024-01-03,Green Chilli,Dumka,33.14,43.33,37.88,59.4,HIGH,0.0,14.5,42.0,60691.0
2024-01-04,Tomato,Ranchi,11.15,15.53,13.19,229.4,HIGH,0.0,17.2,47.1,203230.0
2024-01-04,Tomato,Jamshedpur,22.46,29.85,25.9,124.5,MODERATE,0.0,17.2,47.1,121460.0
2024-01-04,Tomato,Dhanbad,20.83,26.18,23.32,119.3,HIGH,0.0,17.2,47.1,133558.0
2024-01-04,Tomato,Bokaro,18.67,23.59,20.96,105.4,HIGH,0.0,17.2,47.1,99533.0
2024-01-04,Tomato,Hazaribagh,15.19,21.17,17.97,88.0,HIGH,0.0,17.2,47.1,86361.0
2024-01-04,Tomato,Deoghar,20.6,26.88,23.52,75.7,HIGH,0.0,17.2,47.1,85605.0
2024-01-04,Tomato,Dumka,17.62,22.31,19.8,65.6,HIGH,0.0,17.2,47.1,75177.0
2024-01-04,Potato,Ranchi,21.7,26.28,23.83,140.8,MODERATE,0.0,17.2,47.1,155607.0
2024-01-04,Potato,Jamshedpur,20.89,27.43,23.93,99.6,LOW,0.0,17.2,47.1,105161.0
2024-01-04,Potato,Dhanbad,22.84,31.24,26.75,86.2,LOW,0.0,17.2,47.1,80908.0
2024-01-04,Potato,Bokaro,21.1,26.37,23.55,55.0,LOW,0.0,17.2,47.1,61904.0
2024-01-04,Potato,Hazaribagh,16.44,23.17,19.57,61.5,LOW,0.0,17.2,47.1,68496.0
2024-01-04,Potato,Deoghar,22.08,26.69,24.22,48.2,LOW,0.0,17.2,47.1,55417.0
2024-01-04,Potato,Dumka,19.96,24.06,21.87,39.2,LOW,0.0,17.2,47.1,43869.0
2024-01-04,Onion,Ranchi,30.3,36.86,33.35,123.0,LOW,0.0,17.2,47.1,133213.0
2024-01-04,Onion,Jamshedpur,32.35,42.97,37.29,101.6,LOW,0.0,17.2,47.1,87462.0
2024-01-04,Onion,Dhanbad,34.34,45.22,39.4,76.0,LOW,0.0,17.2,47.1,82874.0
2024-01-04,Onion,Bokaro,28.36,33.99,30.98,50.7,LOW,0.0,17.2,47.1,55278.0
2024-01-04,Onion,Hazaribagh,29.12,38.96,33.7,52.1,LOW,0.0,17.2,47.1,57383.0
2024-01-04,Onion,Deoghar,33.95,44.89,39.04,45.9,LOW,0.0,17.2,47.1,50735.0
2024-01-04,Onion,Dumka,27.42,33.64,30.31,35.8,LOW,0.0,17.2,47.1,33338.0
2024-01-04,Green Chilli,Ranchi,41.51,54.71,47.65,212.9,HIGH,0.0,17.2,47.1,184446.0
2024-01-04,Green Chilli,Jamshedpur,36.68,50.68,43.19,136.0,HIGH,0.0,17.2,47.1,144551.0
2024-01-04,Green Chilli,Dhanbad,32.37,39.65,35.76,143.9,HIGH,0.0,17.2,47.1,164623.0
2024-01-04,Green Chilli,Bokaro,35.81,47.4,41.2,95.4,HIGH,0.0,17.2,47.1,97472.0
2024-01-04,Green Chilli,Hazaribagh,38.87,48.58,43.39,94.6,HIGH,0.0,17.2,47.1,96814.0
2024-01-04,Green Chilli,Deoghar,30.28,42.24,35.84,87.6,HIGH,0.0,17.2,47.1,78361.0
2024-01-04,Green Chilli,Dumka,33.54,43.18,38.02,63.7,HIGH,0.0,17.2,47.1,56423.0
2024-01-05,Tomato,Ranchi,16.4,20.89,18.49,201.8,HIGH,0.04,19.0,40.8,196278.0
2024-01-05,Tomato,Jamshedpur,14.48,18.14,16.18,125.6,MODERATE,0.04,19.0,40.8,108119.0
2024-01-05,Tomato,Dhanbad,23.6,29.11,26.16,124.8,HIGH,0.04,19.0,40.8,127513.0
2024-01-05,Tomato,Bokaro,16.46,21.83,18.96,107.8,HIGH,0.04,19.0,40.8,112730.0
2024-01-05,Tomato,Hazaribagh,13.88,18.1,15.84,97.3,HIGH,0.04,19.0,40.8,95298.0
2024-01-05,Tomato,Deoghar,23.15,30.01,26.34,77.7,HIGH,0.04,19.0,40.8,83218.0
2024-01-05,Tomato,Dumka,16.64,21.54,18.92,65.4,HIGH,0.04,19.0,40.8,65798.0
2024-01-05,Potato,Ranchi,19.91,27.29,23.34,115.9,LOW,0.04,19.0,40.8,115696.0
2024-01-05,Potato,Jamshedpur,22.85,31.34,26.8,109.8,MODERATE,0.04,19.0,40.8,95160.0
2024-01-05,Potato,Dhanbad,23.35,28.55,25.77,82.3,LOW,0.04,19.0,40.8,77705.0
2024-01-05,Potato,Bokaro,20.49,28.03,24.0,53.2,LOW,0.04,19.0,40.8,58891.0
2024-01-05,Potato,Hazaribagh,19.23,25.3,22.05,69.5,MODERATE,0.04,19.0,40.8,61570.0
2024-01-05,Potato,Deoghar,19.4,27.32,23.08,33.0,LOW,0.04,19.0,40.8,35694.0
2024-01-05,Potato,Dumka,19.15,25.66,22.18,39.8,LOW,0.04,19.0,40.8,38461.0
2024-01-05,Onion,Ranchi,31.43,38.67,34.8,117.1,LOW,0.04,19.0,40.8,117981.0
2024-01-05,Onion,Jamshedpur,31.2,42.75,36.57,100.0,LOW,0.04,19.0,40.8,114674.0
2024-01-05,Onion,Dhanbad,29.68,41.76,35.3,68.1,LOW,0.04,19.0,40.8,60778.0
2024-01-05,Onion,Bokaro,32.4,38.98,35.46,72.1,MODERATE,0.04,19.0,40.8,77623.0
2024-01-05,Onion,Hazaribagh,33.53,40.84,36.93,55.7,LOW,0.04,19.0,40.8,50368.0
2024-01-05,Onion,Deoghar,33.24,41.06,36.88,43.8,LOW,0.04,19.0,40.8,41068.0
2024-01-05,Onion,Dumka,32.17,41.56,36.54,36.1,LOW,0.04,19.0,40.8,31596.0
2024-01-05,Green Chilli,Ranchi,27.73,36.72,31.91,155.3,MODERATE,0.04,19.0,40.8,162249.0
2024-01-05,Green Chilli,Jamshedpur,35.89,43.03,39.21,151.0,HIGH,0.04,19.0,40.8,144957.0
2024-01-05,Green Chilli,Dhanbad,37.05,50.83,43.46,140.8,HIGH,0.04,19.0,40.8,140064.0
2024-01-05,Green Chilli,Bokaro,44.85,58.05,50.99,107.5,HIGH,0.04,19.0,40.8,120708.0
2024-01-05,Green Chilli,Hazaribagh,25.76,32.41,28.85,82.6,HIGH,0.04,19.0,40.8,82571.0
2024-01-05,Green Chilli,Deoghar,28.71,36.49,32.33,73.1,HIGH,0.04,19.0,40.8,82252.0
2024-01-05,Green Chilli,Dumka,27.76,34.92,31.09,65.3,HIGH,0.04,19.0,40.8,59259.0
2024-01-06,Tomato,Ranchi,16.99,21.16,18.93,161.8,MODERATE,0.0,18.1,45.9,171655.0
2024-01-06,Tomato,Jamshedpur,16.01,21.14,18.4,160.3,HIGH,0.0,18.1,45.9,159218.0
2024-01-06,Tomato,Dhanbad,19.39,26.05,22.49,126.6,HIGH,0.0,18.1,45.9,144193.0
2024-01-06,Tomato,Bokaro,16.15,19.55,17.73,100.8,HIGH,0.0,18.1,45.9,107828.0
2024-01-06,Tomato,Hazaribagh,13.07,17.35,15.06,78.5,HIGH,0.0,18.1,45.9,89564.0
2024-01-06,Tomato,Deoghar,17.73,23.86,20.58,66.9,HIGH,0.0,18.1,45.9,71917.0
2024-01-06,Tomato,Dumka,12.35,14.76,13.47,62.0,HIGH,0.0,18.1,45.9,67159.0
2024-01-06,Potato,Ranchi,21.73,27.94,24.62,120.1,LOW,0.0,18.1,45.9,137319.0
2024-01-06,Potato,Jamshedpur,24.03,28.94,26.31,108.9,MODERATE,0.0,18.1,45.9,110712.0
2024-01-06,Potato,Dhanbad,22.83,31.21,26.73,78.9,LOW,0.0,18.1,45.9,67940.0
2024-01-06,Potato,Bokaro,23.53,28.46,25.82,54.5,LOW,0.0,18.1,45.9,57366.0
2024-01-06,Potato,Hazaribagh,19.07,26.27,22.42,49.6,LOW,0.0,18.1,45.9,53163.0
2024-01-06,Potato,Deoghar,22.35,27.62,24.8,55.7,MODERATE,0.0,18.1,45.9,57737.0
2024-01-06,Potato,Dumka,19.84,25.72,22.57,40.5,LOW,0.0,18.1,45.9,42654.0
2024-01-06,Onion,Ranchi,29.79,41.24,35.12,122.3,LOW,0.0,18.1,45.9,128596.0
2024-01-06,Onion,Jamshedpur,30.2,38.05,33.85,81.0,LOW,0.0,18.1,45.9,89586.0
2024-01-06,Onion,Dhanbad,30.36,38.57,34.18,73.4,LOW,0.0,18.1,45.9,68442.0
2024-01-06,Onion,Bokaro,32.18,38.76,35.24,60.3,LOW,0.0,18.1,45.9,57440.0
2024-01-06,Onion,Hazaribagh,30.45,42.92,36.25,44.3,LOW,0.0,18.1,45.9,41594.0
2024-01-06,Onion,Deoghar,32.21,42.19,36.85,44.4,LOW,0.0,18.1,45.9,51028.0
2024-01-06,Onion,Dumka,27.61,35.05,31.07,32.7,LOW,0.0,18.1,45.9,36774.0
2024-01-06,Green Chilli,Ranchi,33.23,42.0,37.31,238.3,HIGH,0.0,18.1,45.9,207357.0
2024-01-06,Green Chilli,Jamshedpur,38.49,49.37,43.55,167.1,HIGH,0.0,18.1,45.9,173845.0
2024-01-06,Green Chilli,Dhanbad,32.72,45.79,38.8,149.0,HIGH,0.0,18.1,45.9,160263.0
2024-01-06,Green Chilli,Bokaro,32.05,44.37,37.78,92.8,HIGH,0.0,18.1,45.9,85425.0
2024-01-06,Green Chilli,Hazaribagh,34.71,45.12,39.55,73.4,MODERATE,0.0,18.1,45.9,78736.0
2024-01-06,Green Chilli,Deoghar,36.61,45.74,40.86,85.4,HIGH,0.0,18.1,45.9,78774.0
2024-01-06,Green Chilli,Dumka,33.43,46.11,39.33,71.5,HIGH,0.0,18.1,45.9,66851.0
2024-01-07,Tomato,Ranchi,19.31,25.74,22.3,212.6,HIGH,0.0,16.8,49.1,232668.0
2024-01-07,Tomato,Jamshedpur,18.97,23.25,20.96,148.7,HIGH,0.0,16.8,49.1,151473.0
2024-01-07,Tomato,Dhanbad,16.96,23.72,20.1,155.5,HIGH,0.0,16.8,49.1,156094.0
2024-01-07,Tomato,Bokaro,19.39,27.14,22.99,102.4,HIGH,0.0,16.8,49.1,90204.0
2024-01-07,Tomato,Hazaribagh,9.96,11.96,10.89,83.6,HIGH,0.0,16.8,49.1,82474.0
2024-01-07,Tomato,Deoghar,20.81,24.92,22.72,77.2,HIGH,0.0,16.8,49.1,68205.0
2024-01-07,Tomato,Dumka,17.76,23.76,20.55,65.5,HIGH,0.0,16.8,49.1,59743.0
2024-01-07,Potato,Ranchi,20.79,26.51,23.45,137.0,MODERATE,0.0,16.8,49.1,116518.0
2024-01-07,Potato,Jamshedpur,23.7,28.13,25.76,111.4,MODERATE,0.0,16.8,49.1,111673.0
2024-01-07,Potato,Dhanbad,21.59,27.59,24.38,73.1,LOW,0.0,16.8,49.1,79253.0
2024-01-07,Potato,Bokaro,22.43,28.13,25.08,60.1,LOW,0.0,16.8,49.1,55457.0
2024-01-07,Potato,Hazaribagh,18.83,23.24,20.88,49.2,LOW,0.0,16.8,49.1,46702.0
2024-01-07,Potato,Deoghar,20.52,26.36,23.24,56.1,MODERATE,0.0,16.8,49.1,59661.0
2024-01-07,Potato,Dumka,20.99,25.51,23.09,43.1,LOW,0.0,16.8,49.1,48515.0
2024-01-07,Onion,Ranchi,35.06,41.84,38.21,118.0,LOW,0.0,16.8,49.1,104216.0
2024-01-07,Onion,Jamshedpur,36.67,47.99,41.94,67.7,LOW,0.0,16.8,49.1,69532.0
2024-01-07,Onion,Dhanbad,33.22,45.65,39.0,60.0,LOW,0.0,16.8,49.1,62144.0
2024-01-07,Onion,Bokaro,31.49,43.29,36.98,65.6,LOW,0.0,16.8,49.1,60764.0
2024-01-07,Onion,Hazaribagh,28.03,36.89,32.15,52.1,LOW,0.0,16.8,49.1,59675.0
2024-01-07,Onion,Deoghar,31.28,39.21,34.97,52.7,LOW,0.0,16.8,49.1,57431.0
2024-01-07,Onion,Dumka,33.82,43.09,38.13,40.7,LOW,0.0,16.8,49.1,38473.0
2024-01-07,Green Chilli,Ranchi,36.05,45.4,40.4,210.4,HIGH,0.0,16.8,49.1,180041.0
2024-01-07,Green Chilli,Jamshedpur,29.04,38.93,33.64,146.0,HIGH,0.0,16.8,49.1,156450.0
2024-01-07,Green Chilli,Dhanbad,36.88,48.47,42.27,151.6,HIGH,0.0,16.8,49.1,134592.0
2024-01-07,Green Chilli,Bokaro,29.98,36.66,33.09,106.8,HIGH,0.0,16.8,49.1,107034.0
2024-01-07,Green Chilli,Hazaribagh,33.25,39.57,36.19,77.0,MODERATE,0.0,16.8,49.1,88390.0
2024-01-07,Green Chilli,Deoghar,33.22,46.01,39.17,86.6,HIGH,0.0,16.8,49.1,96482.0
2024-01-07,Green Chilli,Dumka,27.35,34.02,30.45,63.6,HIGH,0.0,16.8,49.1,55024.0
2024-01-08,Tomato,Ranchi,18.67,23.06,20.71,196.7,HIGH,2.15,17.7,36.1,218763.0
2024-01-08,Tomato,Jamshedpur,16.6,21.67,18.96,160.5,HIGH,2.15,17.7,36.1,155500.0
2024-01-08,Tomato,Dhanbad,20.9,27.33,23.89,139.2,HIGH,2.15,17.7,36.1,149992.0
2024-01-08,Tomato,Bokaro,16.41,21.27,18.67,90.6,HIGH,2.15,17.7,36.1,77349.0
2024-01-08,Tomato,Hazaribagh,15.01,19.1,16.91,86.7,HIGH,2.15,17.7,36.1,76142.0
2024-01-08,Tomato,Deoghar,15.36,20.5,17.75,82.9,HIGH,2.15,17.7,36.1,74180.0
2024-01-08,Tomato,Dumka,14.05,17.25,15.54,57.5,HIGH,2.15,17.7,36.1,63692.0
2024-01-08,Potato,Ranchi,18.94,24.36,21.46,133.6,LOW,2.15,17.7,36.1,142958.0
2024-01-08,Potato,Jamshedpur,22.81,29.58,25.96,103.3,LOW,2.15,17.7,36.1,110791.0
2024-01-08,Potato,Dhanbad,22.35,29.25,25.56,58.3,LOW,2.15,17.7,36.1,51385.0
2024-01-08,Potato,Bokaro,20.04,27.28,23.41,65.5,LOW,2.15,17.7,36.1,57637.0
2024-01-08,Potato,Hazaribagh,21.06,25.1,22.94,70.3,MODERATE,2.15,17.7,36.1,80407.0
2024-01-08,Potato,Deoghar,21.6,29.86,25.44,51.7,LOW,2.15,17.7,36.1,50066.0
2024-01-08,Potato,Dumka,21.84,28.64,25.0,44.8,LOW,2.15,17.7,36.1,43579.0
2024-01-08,Onion,Ranchi,30.08,38.68,34.08,129.4,LOW,2.15,17.7,36.1,117628.0
2024-01-08,Onion,Jamshedpur,35.29,42.84,38.8,93.1,LOW,2.15,17.7,36.1,83684.0
2024-01-08,Onion,Dhanbad,27.61,38.62,32.73,81.2,LOW,2.15,17.7,36.1,74954.0
2024-01-08,Onion,Bokaro,30.84,42.58,36.3,51.1,LOW,2.15,17.7,36.1,47698.0
2024-01-08,Onion,Hazaribagh,26.3,34.14,29.95,59.5,LOW,2.15,17.7,36.1,58936.0
2024-01-08,Onion,Deoghar,32.09,41.36,36.4,46.1,LOW,2.15,17.7,36.1,52453.0
2024-01-08,Onion,Dumka,26.64,32.23,29.24,38.9,LOW,2.15,17.7,36.1,36011.0
2024-01-08,Green Chilli,Ranchi,30.7,42.36,36.12,190.7,HIGH,2.15,17.7,36.1,213678.0
2024-01-08,Green Chilli,Jamshedpur,27.95,39.08,33.13,174.5,HIGH,2.15,17.7,36.1,152085.0
2024-01-08,Green Chilli,Dhanbad,40.99,53.5,46.81,135.1,HIGH,2.15,17.7,36.1,118766.0
2024-01-08,Green Chilli,Bokaro,29.05,37.84,33.14,83.1,MODERATE,2.15,17.7,36.1,74756.0
2024-01-08,Green Chilli,Hazaribagh,28.14,38.67,33.04,91.8,HIGH,2.15,17.7,36.1,94120.0
2024-01-08,Green Chilli,Deoghar,36.06,45.61,40.5,70.2,HIGH,2.15,17.7,36.1,68196.0
2024-01-08,Green Chilli,Dumka,31.3,38.5,34.65,66.1,HIGH,2.15,17.7,36.1,74856.0
2024-01-09,Tomato,Ranchi,14.05,17.9,15.84,175.6,HIGH,0.0,14.7,45.3,172959.0
2024-01-09,Tomato,Jamshedpur,20.2,27.75,23.71,149.2,HIGH,0.0,14.7,45.3,165966.0
2024-01-09,Tomato,Dhanbad,19.51,24.17,21.68,118.9,HIGH,0.0,14.7,45.3,109797.0
2024-01-09,Tomato,Bokaro,14.46,19.99,17.03,103.4,HIGH,0.0,14.7,45.3,112004.0
2024-01-09,Tomato,Hazaribagh,18.54,24.09,21.12,92.2,HIGH,0.0,14.7,45.3,93211.0
2024-01-09,Tomato,Deoghar,17.16,20.81,18.86,78.4,HIGH,0.0,14.7,45.3,89037.0
2024-01-09,Tomato,Dumka,19.13,23.35,21.09,76.6,HIGH,0.0,14.7,45.3,77850.0
2024-01-09,Potato,Ranchi,20.72,24.72,22.58,111.2,LOW,0.0,14.7,45.3,98488.0
2024-01-09,Potato,Jamshedpur,23.4,30.82,26.85,105.8,LOW,0.0,14.7,45.3,104690.0
2024-01-09,Potato,Dhanbad,22.34,27.39,24.69,89.0,LOW,0.0,14.7,45.3,102046.0
2024-01-09,Potato,Bokaro,17.83,22.93,20.2,71.9,LOW,0.0,14.7,45.3,64413.0
2024-01-09,Potato,Hazaribagh,17.96,21.5,19.61,63.6,MODERATE,0.0,14.7,45.3,60593.0
2024-01-09,Potato,Deoghar,22.3,30.11,25.93,48.6,LOW,0.0,14.7,45.3,52881.0
2024-01-09,Potato,Dumka,19.13,24.48,21.62,51.3,MODERATE,0.0,14.7,45.3,53439.0
2024-01-09,Onion,Ranchi,28.42,35.39,31.66,115.5,LOW,0.0,14.7,45.3,100325.0
2024-01-09,Onion,Jamshedpur,34.67,42.24,38.19,103.1,LOW,0.0,14.7,45.3,107192.0
2024-01-09,Onion,Dhanbad,34.68,43.48,38.77,79.4,LOW,0.0,14.7,45.3,84788.0
2024-01-09,Onion,Bokaro,30.9,40.64,35.43,70.1,LOW,0.0,14.7,45.3,69528.0
2024-01-09,Onion,Hazaribagh,26.69,32.66,29.47,57.2,LOW,0.0,14.7,45.3,60256.0
2024-01-09,Onion,Deoghar,32.89,42.17,37.21,48.5,LOW,0.0,14.7,45.3,54211.0
2024-01-09,Onion,Dumka,29.17,36.46,32.56,37.3,LOW,0.0,14.7,45.3,42308.0
2024-01-09,Green Chilli,Ranchi,39.74,50.55,44.77,238.5,HIGH,0.0,14.7,45.3,242923.0
