date,commodity,region,demand_quantity_kg,modal_price_per_kg,day_of_week,day_of_month,month,year,season,is_weekend,festival_flag,is_synthetic,data_source
2024-01-17,Tomato,Patna,3907.6,39.21,Wednesday,17,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-18,Tomato,Patna,3796.3,42.12,Thursday,18,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-19,Tomato,Patna,4468.8,39.8,Friday,19,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-20,Tomato,Patna,5237.6,34.15,Saturday,20,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-21,Tomato,Patna,4751.4,41.48,Sunday,21,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-22,Tomato,Patna,3733.2,38.29,Monday,22,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-23,Tomato,Patna,4228.6,33.27,Tuesday,23,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-24,Tomato,Patna,4509.3,36.82,Wednesday,24,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-25,Tomato,Patna,3833.7,39.59,Thursday,25,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-26,Tomato,Patna,4969.6,39.4,Friday,26,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-27,Tomato,Patna,5388.6,35.68,Saturday,27,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-28,Tomato,Patna,5019.8,41.71,Sunday,28,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-29,Tomato,Patna,3907.8,34.85,Monday,29,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-30,Tomato,Patna,4496.5,38.94,Tuesday,30,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-31,Tomato,Patna,4360.9,35.89,Wednesday,31,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-01,Tomato,Patna,4225.6,33.51,Thursday,1,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-02,Tomato,Patna,5485.1,40.29,Friday,2,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-03,Tomato,Patna,5551.5,36.97,Saturday,3,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-04,Tomato,Patna,4863.8,38.4,Sunday,4,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-05,Tomato,Patna,4253.0,38.27,Monday,5,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-06,Tomato,Patna,4803.0,36.71,Tuesday,6,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-07,Tomato,Patna,4986.4,27.27,Wednesday,7,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-08,Tomato,Patna,4409.4,36.88,Thursday,8,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-09,Tomato,Patna,4857.2,36.76,Friday,9,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-10,Tomato,Patna,5559.0,35.51,Saturday,10,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-11,Tomato,Patna,4883.7,41.48,Sunday,11,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-12,Tomato,Patna,4091.1,33.11,Monday,12,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-13,Tomato,Patna,4540.2,39.18,Tuesday,13,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-14,Tomato,Patna,4786.3,33.84,Wednesday,14,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-15,Tomato,Patna,4830.8,35.95,Thursday,15,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-16,Tomato,Patna,5580.1,32.94,Friday,16,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-17,Tomato,Patna,5236.6,33.91,Saturday,17,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-18,Tomato,Patna,5406.5,36.25,Sunday,18,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-19,Tomato,Patna,4178.1,35.06,Monday,19,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-20,Tomato,Patna,4795.7,29.8,Tuesday,20,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-21,Tomato,Patna,4590.0,33.52,Wednesday,21,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-22,Tomato,Patna,4875.3,34.03,Thursday,22,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-23,Tomato,Patna,5489.5,41.26,Friday,23,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-24,Tomato,Patna,5696.7,35.25,Saturday,24,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-25,Tomato,Patna,5819.6,27.27,Sunday,25,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-26,Tomato,Patna,4883.4,34.25,Monday,26,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-27,Tomato,Patna,4957.8,33.2,Tuesday,27,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-28,Tomato,Patna,4598.7,33.62,Wednesday,28,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-02-29,Tomato,Patna,4928.7,37.71,Thursday,29,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-01,Tomato,Patna,5516.9,36.3,Friday,1,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-02,Tomato,Patna,5306.9,38.36,Saturday,2,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-03,Tomato,Patna,6231.3,35.28,Sunday,3,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-04,Tomato,Patna,4471.8,29.46,Monday,4,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-05,Tomato,Patna,4863.5,33.24,Tuesday,5,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-06,Tomato,Patna,5248.3,27.15,Wednesday,6,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-07,Tomato,Patna,5308.7,28.77,Thursday,7,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-08,Tomato,Patna,6707.6,29.14,Friday,8,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-09,Tomato,Patna,6128.2,29.48,Saturday,9,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-10,Tomato,Patna,5390.7,35.09,Sunday,10,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-11,Tomato,Patna,4884.8,32.84,Monday,11,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-12,Tomato,Patna,5414.2,26.09,Tuesday,12,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-13,Tomato,Patna,5331.4,32.67,Wednesday,13,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-14,Tomato,Patna,5002.4,27.14,Thursday,14,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-15,Tomato,Patna,8129.5,33.34,Friday,15,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-16,Tomato,Patna,8240.6,32.22,Saturday,16,3,2024,Rabi,1,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-17,Tomato,Patna,8077.6,28.73,Sunday,17,3,2024,Rabi,1,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-18,Tomato,Patna,5896.5,32.1,Monday,18,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-19,Tomato,Patna,6691.4,37.62,Tuesday,19,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-20,Tomato,Patna,7348.3,26.48,Wednesday,20,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-21,Tomato,Patna,7381.4,27.12,Thursday,21,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-22,Tomato,Patna,7755.6,34.67,Friday,22,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-23,Tomato,Patna,8328.7,33.83,Saturday,23,3,2024,Rabi,1,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-24,Tomato,Patna,8625.7,33.19,Sunday,24,3,2024,Rabi,1,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-25,Tomato,Patna,6124.7,29.21,Monday,25,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-26,Tomato,Patna,5323.9,26.76,Tuesday,26,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-27,Tomato,Patna,5547.3,29.56,Wednesday,27,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-28,Tomato,Patna,5647.4,30.7,Thursday,28,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-29,Tomato,Patna,7052.9,29.63,Friday,29,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-30,Tomato,Patna,7549.0,28.5,Saturday,30,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-03-31,Tomato,Patna,5975.5,31.58,Sunday,31,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-01,Tomato,Patna,5245.0,25.35,Monday,1,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-02,Tomato,Patna,5786.4,28.28,Tuesday,2,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-03,Tomato,Patna,5484.3,30.67,Wednesday,3,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-04,Tomato,Patna,5280.6,25.79,Thursday,4,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-05,Tomato,Patna,7099.0,27.12,Friday,5,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-06,Tomato,Patna,6295.3,29.38,Saturday,6,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-07,Tomato,Patna,6584.7,29.12,Sunday,7,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-08,Tomato,Patna,5250.0,25.2,Monday,8,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-09,Tomato,Patna,5344.6,28.47,Tuesday,9,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-10,Tomato,Patna,5799.3,29.44,Wednesday,10,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-11,Tomato,Patna,5843.4,31.94,Thursday,11,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-12,Tomato,Patna,6780.8,22.98,Friday,12,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-13,Tomato,Patna,6973.6,29.69,Saturday,13,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-14,Tomato,Patna,7792.5,29.58,Sunday,14,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-15,Tomato,Patna,5410.4,29.68,Monday,15,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-16,Tomato,Patna,5830.6,30.96,Tuesday,16,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-17,Tomato,Patna,6072.1,26.29,Wednesday,17,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-18,Tomato,Patna,5862.5,24.55,Thursday,18,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-19,Tomato,Patna,7114.4,25.49,Friday,19,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-20,Tomato,Patna,5984.5,35.47,Saturday,20,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-21,Tomato,Patna,6087.2,29.52,Sunday,21,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-22,Tomato,Patna,5641.4,25.26,Monday,22,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-23,Tomato,Patna,5560.9,27.1,Tuesday,23,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-24,Tomato,Patna,6211.9,24.21,Wednesday,24,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-25,Tomato,Patna,6088.2,24.07,Thursday,25,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-26,Tomato,Patna,6870.4,26.79,Friday,26,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-27,Tomato,Patna,6949.6,34.26,Saturday,27,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-28,Tomato,Patna,7261.2,19.17,Sunday,28,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-29,Tomato,Patna,5687.2,24.01,Monday,29,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-04-30,Tomato,Patna,6057.2,23.46,Tuesday,30,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-01,Tomato,Patna,6161.7,28.06,Wednesday,1,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-02,Tomato,Patna,6072.3,21.86,Thursday,2,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-03,Tomato,Patna,7052.6,24.4,Friday,3,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-04,Tomato,Patna,7032.4,32.4,Saturday,4,5,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-05,Tomato,Patna,7475.7,21.44,Sunday,5,5,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-06,Tomato,Patna,5402.1,33.56,Monday,6,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-07,Tomato,Patna,6121.1,20.4,Tuesday,7,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-08,Tomato,Patna,5648.1,30.37,Wednesday,8,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-09,Tomato,Patna,6221.1,27.36,Thursday,9,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-10,Tomato,Patna,7426.7,22.37,Friday,10,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-11,Tomato,Patna,7480.6,13.99,Saturday,11,5,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-12,Tomato,Patna,6597.4,24.7,Sunday,12,5,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-13,Tomato,Patna,4876.0,31.45,Monday,13,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-14,Tomato,Patna,6200.9,23.94,Tuesday,14,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-15,Tomato,Patna,5454.6,30.68,Wednesday,15,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-16,Tomato,Patna,5928.0,29.64,Thursday,16,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-17,Tomato,Patna,7686.5,21.89,Friday,17,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-18,Tomato,Patna,7081.5,26.1,Saturday,18,5,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-19,Tomato,Patna,6889.0,25.61,Sunday,19,5,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-20,Tomato,Patna,5676.9,25.74,Monday,20,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-21,Tomato,Patna,5517.5,31.02,Tuesday,21,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-22,Tomato,Patna,5234.3,32.96,Wednesday,22,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-23,Tomato,Patna,6337.7,24.72,Thursday,23,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-24,Tomato,Patna,7083.1,26.26,Friday,24,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-25,Tomato,Patna,7221.5,24.49,Saturday,25,5,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-26,Tomato,Patna,7470.2,23.1,Sunday,26,5,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-27,Tomato,Patna,5287.6,26.5,Monday,27,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-28,Tomato,Patna,6095.1,28.45,Tuesday,28,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-29,Tomato,Patna,6206.5,28.13,Wednesday,29,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-30,Tomato,Patna,6095.9,22.22,Thursday,30,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-05-31,Tomato,Patna,7453.8,27.89,Friday,31,5,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-01,Tomato,Patna,7418.5,25.13,Saturday,1,6,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-02,Tomato,Patna,6633.5,29.81,Sunday,2,6,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-03,Tomato,Patna,5395.2,27.19,Monday,3,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-04,Tomato,Patna,6512.1,24.44,Tuesday,4,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-05,Tomato,Patna,6253.9,28.21,Wednesday,5,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-06,Tomato,Patna,5938.8,29.96,Thursday,6,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-07,Tomato,Patna,7119.6,27.73,Friday,7,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-08,Tomato,Patna,7247.1,26.46,Saturday,8,6,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-09,Tomato,Patna,7235.8,25.67,Sunday,9,6,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-10,Tomato,Patna,6211.2,22.4,Monday,10,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-11,Tomato,Patna,5891.7,21.75,Tuesday,11,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-12,Tomato,Patna,6168.7,29.57,Wednesday,12,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-13,Tomato,Patna,6200.1,27.68,Thursday,13,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-14,Tomato,Patna,6996.4,25.42,Friday,14,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-15,Tomato,Patna,7054.4,25.78,Saturday,15,6,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-16,Tomato,Patna,6781.3,29.05,Sunday,16,6,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-17,Tomato,Patna,5500.1,22.61,Monday,17,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-18,Tomato,Patna,5843.9,27.12,Tuesday,18,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-19,Tomato,Patna,6271.4,22.72,Wednesday,19,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-20,Tomato,Patna,5871.9,26.61,Thursday,20,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-21,Tomato,Patna,7437.2,24.08,Friday,21,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-22,Tomato,Patna,6991.9,20.62,Saturday,22,6,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-23,Tomato,Patna,6994.0,23.3,Sunday,23,6,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-24,Tomato,Patna,5779.8,27.07,Monday,24,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-25,Tomato,Patna,5841.4,29.09,Tuesday,25,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-26,Tomato,Patna,5711.1,26.0,Wednesday,26,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-27,Tomato,Patna,5915.7,26.07,Thursday,27,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-28,Tomato,Patna,6833.6,27.36,Friday,28,6,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-29,Tomato,Patna,7622.3,28.14,Saturday,29,6,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-06-30,Tomato,Patna,7020.1,25.95,Sunday,30,6,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-07-01,Tomato,Patna,5161.1,28.9,Monday,1,7,2024,Kharif,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-07-02,Tomato,Patna,5914.6,27.3,Tuesday,2,7,2024,Kharif,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-07-03,Tomato,Patna,5689.5,26.92,Wednesday,3,7,2024,Kharif,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-07-04,Tomato,Patna,6064.3,26.74,Thursday,4,7,2024,Kharif,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-07-05,Tomato,Patna,7154.9,31.96,Friday,5,7,2024,Kharif,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-07-06,Tomato,Patna,6429.4,34.57,Saturday,6,7,2024,Kharif,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-07-07,Tomato,Patna,6674.8,30.04,Sunday,7,7,2024,Kharif,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-07-08,Tomato,Patna,4784.9,34.88,Monday,8,7,2024,Kharif,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-07-09,Tomato,Patna,5801.5,24.06,Tuesday,9,7,2024,Kharif,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-07-10,Tomato,Patna,5996.3,19.53,Wednesday,10,7,2024,Kharif,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
