date,commodity,region,demand_quantity_kg,modal_price_per_kg,day_of_week,day_of_month,month,year,season,is_weekend,festival_flag,is_synthetic,data_source,day_of_week_num,season_code,demand_lag_1,demand_lag_7,demand_lag_14,demand_rolling_mean_7,demand_rolling_mean_14,demand_rolling_std_7,price_lag_1,price_rolling_mean_7
2024-02-13,Onion,Gaya,4375.6,31.61,Tuesday,13,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,4228.4,4067.3,4090.1,4773.057142857143,4740.342857142858,685.6217150809013,29.22,30.397142857142857
2024-02-14,Onion,Gaya,5136.9,22.18,Wednesday,14,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,4375.6,4364.8,4405.7,4817.099999999999,4760.7357142857145,641.1920461141111,31.61,29.83857142857143
2024-02-15,Onion,Gaya,4632.8,31.56,Thursday,15,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,5136.9,4330.7,4634.9,4927.4,4812.964285714285,616.3464339692955,22.18,29.297142857142855
2024-02-16,Onion,Gaya,5448.5,29.89,Friday,16,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,4632.8,5714.1,5897.1,4970.557142857143,4812.814285714286,576.9168133481724,31.56,29.21285714285714
2024-02-17,Onion,Gaya,5839.7,30.35,Saturday,17,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,5448.5,5582.2,5244.6,4932.614285714285,4780.771428571429,526.3860795669896,29.89,29.267142857142858
2024-02-18,Onion,Gaya,6119.1,29.19,Sunday,18,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,5839.7,5123.9,4616.3,4969.400000000001,4823.278571428571,585.0732717646001,30.35,29.4
2024-02-19,Onion,Gaya,4461.3,25.21,Monday,19,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,6119.1,4228.4,4064.7,5111.571428571428,4930.621428571429,731.4728559882584,29.19,29.142857142857142
2024-02-20,Onion,Gaya,5111.8,26.05,Tuesday,20,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,4461.3,4375.6,4067.3,5144.842857142858,4958.95,688.6493395460009,25.21,28.57
2024-02-21,Onion,Gaya,4627.7,24.97,Wednesday,21,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,5111.8,5136.9,4364.8,5250.0142857142855,5033.557142857143,602.4059440514942,26.05,27.775714285714287
2024-02-22,Onion,Gaya,4944.6,27.15,Thursday,22,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,4627.7,4632.8,4330.7,5177.271428571429,5052.335714285714,647.4047026764786,24.97,28.174285714285713
2024-02-23,Onion,Gaya,5702.1,27.15,Friday,23,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,4944.6,5448.5,5714.1,5221.814285714286,5096.185714285714,613.5410185379393,27.15,27.544285714285714
2024-02-24,Onion,Gaya,5774.7,28.05,Saturday,24,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,5702.1,5839.7,5582.2,5258.042857142857,5095.328571428571,636.2253108690952,27.15,27.15285714285714
2024-02-25,Onion,Gaya,5609.8,31.95,Sunday,25,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,5774.7,6119.1,5123.9,5248.757142857144,5109.078571428572,626.724537728081,28.05,26.824285714285715
2024-02-26,Onion,Gaya,4897.7,27.51,Monday,26,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,5609.8,4461.3,4228.4,5176.0,5143.785714285715,531.1154802237776,31.95,27.21857142857143
2024-02-27,Onion,Gaya,4623.8,29.37,Tuesday,27,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,4897.7,5111.8,4375.6,5238.342857142858,5191.592857142857,453.12807187792964,27.51,27.547142857142855
2024-02-28,Onion,Gaya,5034.7,28.71,Wednesday,28,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,4623.8,4627.7,5136.9,5168.628571428571,5209.321428571428,509.83323323836635,29.37,28.02142857142857
2024-02-29,Onion,Gaya,4758.6,26.35,Thursday,29,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,5034.7,4944.6,4632.8,5226.771428571429,5202.021428571427,458.4845606789317,28.71,28.555714285714284
2024-03-01,Onion,Gaya,5845.3,28.11,Friday,1,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,4758.6,5702.1,5448.5,5200.2,5211.007142857144,482.332879520635,26.35,28.44142857142857
2024-03-02,Onion,Gaya,6012.3,31.36,Saturday,2,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,5845.3,5774.7,5839.7,5220.657142857142,5239.35,509.4426655903588,28.11,28.57857142857143
2024-03-03,Onion,Gaya,5963.6,26.17,Sunday,3,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,6012.3,5609.8,6119.1,5254.599999999999,5251.678571428572,558.1011079246011,31.36,29.05142857142857
2024-03-04,Onion,Gaya,4096.2,30.66,Monday,4,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,5963.6,4897.7,4461.3,5305.142857142857,5240.571428571428,609.3019198425441,26.17,28.225714285714286
2024-03-05,Onion,Gaya,5155.6,25.06,Tuesday,5,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,4096.2,4623.8,5111.8,5190.642857142857,5214.492857142858,756.2246554588197,30.66,28.675714285714285
2024-03-06,Onion,Gaya,5050.6,27.51,Wednesday,6,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,5155.6,5034.7,4627.7,5266.614285714286,5217.621428571429,715.3984843627866,25.06,28.060000000000002
2024-03-07,Onion,Gaya,5037.7,26.58,Thursday,7,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,5050.6,4758.6,4944.6,5268.885714285715,5247.828571428572,714.5641758642622,27.51,27.888571428571428
2024-03-08,Onion,Gaya,6423.2,28.15,Friday,8,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,5037.7,5845.3,5702.1,5308.757142857144,5254.478571428571,688.6628320088697,26.58,27.921428571428574
2024-03-09,Onion,Gaya,6972.7,25.98,Saturday,9,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,6423.2,6012.3,5774.7,5391.314285714286,5305.9857142857145,790.7732343062947,28.15,27.927142857142858
2024-03-10,Onion,Gaya,6048.4,31.75,Sunday,10,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,6972.7,5963.6,5609.8,5528.5142857142855,5391.557142857143,977.6949497475701,25.98,27.15857142857143
2024-03-11,Onion,Gaya,5048.3,28.44,Monday,11,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,6048.4,4096.2,4897.7,5540.628571428571,5422.885714285715,984.486225930875,31.75,27.955714285714286
2024-03-12,Onion,Gaya,4999.8,26.16,Tuesday,12,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,5048.3,5155.6,4623.8,5676.642857142857,5433.642857142858,800.1867591530163,28.44,27.638571428571428
2024-03-13,Onion,Gaya,4998.6,25.5,Wednesday,13,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,4999.8,5050.6,5034.7,5654.385714285714,5460.5,819.0396844853751,26.16,27.795714285714286
2024-03-14,Onion,Gaya,5288.6,26.96,Thursday,14,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,4998.6,5037.7,4758.6,5646.957142857143,5457.921428571428,825.6378803832874,25.5,27.50857142857143
2024-03-15,Onion,Gaya,8140.1,27.05,Friday,15,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,5288.6,6423.2,5845.3,5682.800000000001,5495.778571428572,799.8229033146428,26.96,27.562857142857144
2024-03-16,Onion,Gaya,8712.15,26.8,Saturday,16,3,2024,Rabi,1,1,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,8140.1,6972.7,6012.3,5928.071428571428,5659.692857142857,1218.422797054023,27.05,27.40571428571429
2024-03-17,Onion,Gaya,8152.8,27.87,Sunday,17,3,2024,Rabi,1,1,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,8712.15,6048.4,5963.6,6176.564285714287,5852.539285714286,1588.234261350814,26.8,27.52285714285714
2024-03-18,Onion,Gaya,5678.3,26.75,Monday,18,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,8152.8,5048.3,4096.2,6477.192857142857,6008.910714285715,1750.7792151945189,27.87,26.96857142857143
2024-03-19,Onion,Gaya,7928.4,21.85,Tuesday,19,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,5678.3,4999.8,5155.6,6567.192857142857,6121.9178571428565,1679.8393852857287,26.75,26.72714285714286
2024-03-20,Onion,Gaya,6802.4,24.83,Wednesday,20,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,7928.4,4998.6,5050.6,6985.564285714287,6319.975,1586.5100122370993,21.85,26.111428571428572
2024-03-21,Onion,Gaya,7120.0,26.61,Thursday,21,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,6802.4,5288.6,5037.7,7243.25,6445.103571428571,1336.8366083781475,24.83,26.01571428571429
2024-03-22,Onion,Gaya,8712.15,27.56,Friday,22,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,7120.0,8140.1,6423.2,7504.8785714285705,6593.839285714285,1035.8716200448166,26.61,25.965714285714284
2024-03-23,Onion,Gaya,7821.0,29.44,Saturday,23,3,2024,Rabi,1,1,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,8712.15,8712.15,6972.7,7586.599999999999,6757.335714285714,1113.9591086899552,27.56,26.038571428571426
2024-03-24,Onion,Gaya,7776.8,28.08,Sunday,24,3,2024,Rabi,1,1,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,7821.0,8152.8,6048.4,7459.2928571428565,6817.928571428572,1009.9554587656148,29.44,26.415714285714284
2024-03-25,Onion,Gaya,6025.3,25.34,Monday,25,3,2024,Rabi,0,1,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,7776.8,5678.3,5048.3,7405.578571428572,6941.385714285714,976.3641934310543,28.08,26.445714285714285
2024-03-26,Onion,Gaya,5635.6,21.51,Tuesday,26,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,6025.3,7928.4,4999.8,7455.150000000001,7011.171428571428,877.8950786777734,25.34,26.244285714285716
2024-03-27,Onion,Gaya,5837.2,23.2,Wednesday,27,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,5635.6,6802.4,4998.6,7127.607142857143,7056.585714285715,1077.0333476841831,21.51,26.195714285714285
2024-03-28,Onion,Gaya,5604.5,24.73,Thursday,28,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,5837.2,7120.0,5288.6,6989.721428571429,7116.4857142857145,1182.251285280591,23.2,25.96285714285714
2024-03-29,Onion,Gaya,5940.4,28.6,Friday,29,3,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,5604.5,8712.15,8140.1,6773.221428571429,7139.05,1288.4143199611467,24.73,25.694285714285716
2024-03-30,Onion,Gaya,6788.3,23.5,Saturday,30,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,5940.4,7821.0,8712.15,6377.257142857144,6981.928571428572,982.9125323193673,28.6,25.842857142857145
2024-03-31,Onion,Gaya,6679.1,25.9,Sunday,31,3,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,6788.3,7776.8,8152.8,6229.728571428573,6844.510714285714,788.3434440104653,23.5,24.994285714285716
2024-04-01,Onion,Gaya,4935.3,27.15,Monday,1,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,2,6679.1,6025.3,5678.3,6072.914285714286,6739.2464285714295,477.01885856700517,25.9,24.68285714285714
2024-04-02,Onion,Gaya,5631.3,25.72,Tuesday,2,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,2,4935.3,5635.6,7928.4,5917.2,6686.175,643.8753140166178,27.15,24.941428571428567
2024-04-03,Onion,Gaya,5718.5,21.38,Wednesday,3,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,2,5631.3,5837.2,6802.4,5916.585714285714,6522.096428571428,644.1907233849586,25.72,25.542857142857144
2024-04-04,Onion,Gaya,5708.2,25.42,Thursday,4,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,2,5718.5,5604.5,7120.0,5899.628571428571,6444.675,648.1786243371631,21.38,25.282857142857146
2024-04-05,Onion,Gaya,6444.5,22.53,Friday,5,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,2,5708.2,5940.4,8712.15,5914.442857142857,6343.832142857143,641.4593981880753,25.42,25.381428571428568
2024-04-06,Onion,Gaya,7473.2,24.11,Saturday,6,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,2,6444.5,6788.3,7821.0,5986.457142857143,6181.857142857143,672.4092698576321,22.53,24.514285714285712
2024-04-07,Onion,Gaya,7006.9,22.63,Sunday,7,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,2,7473.2,6679.1,7776.8,6084.3,6157.014285714286,837.9782355964447,24.11,24.601428571428574
2024-04-08,Onion,Gaya,4950.6,28.32,Monday,8,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,2,7006.9,4935.3,6025.3,6131.1285714285705,6102.021428571429,884.6184162569471,22.63,24.134285714285713
2024-04-09,Onion,Gaya,5919.4,22.81,Tuesday,9,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,2,4950.6,5631.3,5635.6,6133.314285714287,6025.257142857144,881.1835552796222,28.32,24.301428571428573
2024-04-10,Onion,Gaya,5439.4,24.84,Wednesday,10,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,2,5919.4,5718.5,5837.2,6174.471428571429,6045.528571428571,860.3090873135553,22.81,23.885714285714283
2024-04-11,Onion,Gaya,5931.9,22.72,Thursday,11,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,2,5439.4,5708.2,5604.5,6134.599999999999,6017.114285714285,890.887413388095,24.84,24.38
2024-04-12,Onion,Gaya,6642.7,26.47,Friday,12,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,2,5931.9,6444.5,5940.4,6166.557142857143,6040.5,876.9458190354786,22.72,23.994285714285716
2024-04-13,Onion,Gaya,7144.3,23.99,Saturday,13,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,2,6642.7,7473.2,6788.3,6194.871428571429,6090.664285714286,890.5103138356208,26.47,24.557142857142857
2024-04-14,Onion,Gaya,6557.0,23.67,Sunday,14,4,2024,Zaid,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,2,7144.3,7006.9,6679.1,6147.885714285714,6116.092857142858,817.5052281760865,23.99,24.539999999999996
2024-04-15,Onion,Gaya,5081.4,22.2,Monday,15,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,2,6557.0,4950.6,4935.3,6083.614285714286,6107.371428571429,753.9277185260548,23.67,24.68857142857143
2024-04-16,Onion,Gaya,5422.8,30.36,Tuesday,16,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,2,5081.4,5919.4,5631.3,6102.3,6117.807142857143,722.1161079309414,22.2,23.814285714285713
2024-04-17,Onion,Gaya,6122.4,27.16,Wednesday,17,4,2024,Zaid,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,2,5422.8,5439.4,5718.5,6031.357142857142,6102.914285714286,766.1318051465691,30.36,24.892857142857142
