date,commodity,region,minimum_price,maximum_price,modal_price,market_arrivals_tonnes,market_supply_level,rainfall_mm,temperature_c,humidity_pct,predicted_demand_kg,day_of_week,day_of_month,month,week_of_year,is_weekend,season,season_code,is_festival_season,distance_to_ranchi_km,statewide_avg_modal,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,price_lag_21,price_lag_30,price_rolling_mean_3,price_rolling_mean_7,price_rolling_mean_14,price_rolling_mean_30,price_rolling_std_7,price_rolling_std_14,price_rolling_std_30,price_change_1d,price_change_7d,price_change_14d,neighbor_market_price,neighbor_market_price_change,market_arrivals_lag_1,arrivals_rolling_mean_7,rainfall_rolling_sum_7,temperature_lag_1,predicted_demand_lag_1,commodity_code,region_code
2024-02-10,Green Chilli,Bokaro,42.35,53.06,47.33,109.4,HIGH,0.0,13.5,42.6,98945.0,5,10,2,6,1,Rabi,1,0,119.19,36.45,40.8,37.73,43.93,41.46,40.22,35.72,40.06,40.82,40.93285714285714,40.486428571428576,38.44866666666666,4.731651277252359,5.3273078886675425,5.8265964118966105,3.0700000000000003,-0.6600000000000037,0.5799999999999983,38.385714285714286,3.5414285714285754,103.1,108.04285714285713,3.3200000000000003,17.8,91080.0,0,0
2024-02-11,Green Chilli,Bokaro,17.79,22.87,20.15,83.9,MODERATE,0.0,18.4,41.3,81066.0,6,11,2,6,1,Rabi,1,0,119.19,35.357142857142854,47.33,40.8,37.73,32.66,32.91,33.6,36.44,41.953333333333326,41.771428571428565,40.99428571428571,38.691,5.323756282210994,5.630243490138048,6.043085162056059,6.530000000000001,14.670000000000002,14.420000000000002,36.45,-1.9357142857142833,109.4,110.78571428571429,3.3200000000000003,13.5,98945.0,0,0
2024-02-12,Green Chilli,Bokaro,40.67,51.01,45.48,132.3,HIGH,1.89,21.6,42.0,135952.0,0,12,2,7,0,Rabi,1,0,119.19,37.49571428571428,20.15,47.33,40.8,42.36,40.88,46.93,31.49,36.093333333333334,39.98428571428571,40.08285714285715,38.147999999999996,9.417759565740425,7.694124060277761,6.9204935044278155,-27.18,-22.21,-20.730000000000004,35.357142857142854,-1.0928571428571487,83.9,107.04285714285716,2.59,18.4,81066.0,0,0
2024-02-13,Green Chilli,Bokaro,39.88,50.1,44.63,95.6,HIGH,0.0,18.4,38.4,105206.0,1,13,2,7,0,Rabi,1,0,119.19,35.35285714285714,45.48,20.15,47.33,47.59,30.71,33.35,42.72,37.65333333333333,40.43,40.41142857142857,38.61433333333333,9.620580370573634,7.827841688135088,6.927727737808079,25.33,-2.1100000000000065,14.769999999999996,37.49571428571428,2.1385714285714243,132.3,111.38571428571429,4.4799999999999995,21.6,135952.0,0,0
2024-02-14,Green Chilli,Bokaro,35.16,46.66,40.51,101.2,HIGH,0.0,15.2,39.4,103783.0,2,14,2,7,0,Rabi,1,0,119.19,35.69,44.63,45.48,20.15,43.93,47.1,34.7,27.16,36.75333333333334,40.00714285714286,41.40571428571428,38.678000000000004,9.313575601034788,7.37153852460803,6.975373133017877,-0.8499999999999943,0.7000000000000028,-2.469999999999999,35.35285714285714,-2.142857142857139,95.6,110.55714285714285,2.08,18.4,105206.0,0,0
2024-02-15,Green Chilli,Bokaro,42.24,52.03,46.79,103.9,HIGH,0.0,20.6,48.3,114156.0,3,15,2,7,0,Rabi,1,0,119.19,40.64714285714286,40.51,44.63,45.48,37.73,46.26,33.71,38.83,43.54,39.51857142857143,40.934999999999995,39.123000000000005,9.161961996158228,7.188077468440905,6.632652327429185,-4.1200000000000045,2.780000000000001,-5.75,35.69,0.3371428571428581,101.2,107.05714285714286,1.8900000000000003,15.2,103783.0,0,0
2024-02-16,Green Chilli,Bokaro,29.54,40.65,34.71,130.1,HIGH,0.0,19.6,41.2,120362.0,4,16,2,7,0,Rabi,1,0,119.19,38.61857142857143,46.79,40.51,44.63,40.8,42.2,37.34,27.18,43.97666666666667,40.81285714285714,40.972857142857144,39.388333333333335,9.500857354796489,7.219606241736068,6.778147485363048,6.280000000000001,5.990000000000002,4.589999999999996,40.64714285714286,4.957142857142863,103.9,104.2,1.8900000000000003,20.6,114156.0,0,0
2024-02-17,Green Chilli,Bokaro,31.62,41.79,36.35,113.2,HIGH,0.0,19.0,52.6,103924.0,5,17,2,7,1,Rabi,1,0,119.19,38.96714285714285,34.71,46.79,40.51,47.33,41.46,40.22,41.76,40.669999999999995,39.942857142857136,40.43785714285714,39.63933333333333,9.777049170183737,7.397014136249046,6.441537047959126,-12.079999999999998,-12.619999999999997,-6.75,38.61857142857143,-2.028571428571432,130.1,108.05714285714285,1.8900000000000003,19.6,120362.0,0,0
2024-02-18,Green Chilli,Bokaro,29.94,41.44,35.29,102.2,HIGH,0.0,19.7,41.2,91650.0,6,18,2,7,1,Rabi,1,0,119.19,38.35857142857143,36.35,34.71,46.79,20.15,32.66,32.91,45.66,39.28333333333334,38.37428571428571,40.07285714285714,39.458999999999996,9.261569084381,7.468427317274144,6.455832620784578,1.6400000000000006,16.200000000000003,3.690000000000005,38.96714285714285,0.3485714285714252,113.2,108.60000000000001,1.8900000000000003,19.0,103924.0,0,0
2024-02-19,Green Chilli,Bokaro,16.33,22.18,19.05,115.2,HIGH,0.0,19.9,43.0,132302.0,0,19,2,8,0,Rabi,1,0,119.19,36.51428571428571,35.29,36.35,34.71,45.48,42.36,40.88,35.72,35.449999999999996,40.537142857142854,40.26071428571429,39.11333333333333,5.152710336271959,7.298774885908245,6.389644279847554,-1.0600000000000023,-10.189999999999998,-7.07,38.35857142857143,-0.6085714285714232,102.2,111.21428571428571,1.8900000000000003,19.7,91650.0,0,0
2024-02-20,Green Chilli,Bokaro,39.9,49.36,44.3,110.5,HIGH,0.0,20.7,38.3,119543.0,1,20,2,8,0,Rabi,1,0,119.19,38.44857142857143,19.05,35.29,36.35,44.63,47.59,30.71,33.6,30.23,36.76142857142857,38.59571428571429,38.55766666666666,9.09922969005514,9.195374016140036,7.347903141353502,-16.24,-25.580000000000002,-28.540000000000003,36.51428571428571,-1.8442857142857179,115.2,108.77142857142859,0.0,19.9,132302.0,0,0
2024-02-21,Green Chilli,Bokaro,34.93,45.74,39.96,113.5,HIGH,0.0,19.5,52.2,99311.0,2,21,2,8,0,Rabi,1,0,119.19,36.17285714285715,44.3,19.05,35.29,40.51,43.93,47.1,46.93,32.88,36.714285714285715,38.36071428571428,38.91433333333334,9.05240273287127,8.987522516745704,7.358641030522687,25.249999999999996,3.789999999999999,0.36999999999999744,38.44857142857143,1.9342857142857142,110.5,110.9,0.0,20.7,119543.0,0,0
2024-02-22,Green Chilli,Bokaro,31.86,40.91,36.07,94.6,HIGH,0.0,18.4,45.6,108500.0,3,22,2,8,0,Rabi,1,0,119.19,38.36571428571428,39.96,44.3,19.05,46.79,37.73,46.26,33.35,34.43666666666667,36.635714285714286,38.07714285714286,38.682,9.016281305029729,8.860010790557268,7.205269814756996,-4.339999999999996,-6.829999999999998,2.230000000000004,36.17285714285715,-2.2757142857142796,113.5,112.65714285714286,0.0,19.5,99311.0,0,0
2024-02-23,Green Chilli,Bokaro,38.52,47.57,42.73,110.3,HIGH,0.0,16.8,40.2,106280.0,4,23,2,8,0,Rabi,1,0,119.19,41.098571428571425,36.07,39.96,44.3,34.71,40.8,42.2,34.7,40.11000000000001,35.104285714285716,37.958571428571425,38.772666666666666,7.837448260632746,8.876106957741932,7.152783848377443,-3.8900000000000006,1.3599999999999994,-4.729999999999997,38.36571428571428,2.192857142857136,94.6,111.32857142857144,0.0,18.4,108500.0,0,0
2024-02-24,Green Chilli,Bokaro,40.66,52.53,46.18,123.6,HIGH,0.0,20.5,35.3,138836.0,5,24,2,8,1,Rabi,1,0,119.19,41.99571428571429,42.73,36.07,39.96,36.35,47.33,41.46,33.71,39.586666666666666,36.25,38.096428571428575,39.040333333333336,8.3402737764816,8.93840168739774,7.1453667087350325,6.659999999999997,6.3799999999999955,-4.600000000000001,41.098571428571425,2.732857142857142,110.3,108.5,0.0,16.8,106280.0,0,0
2024-02-25,Green Chilli,Bokaro,36.27,44.78,40.23,107.7,HIGH,0.0,15.7,38.7,106166.0,6,25,2,8,1,Rabi,1,0,119.19,39.667142857142856,46.18,42.73,36.07,35.29,20.15,32.66,37.34,41.660000000000004,37.65428571428571,38.01428571428571,39.455999999999996,9.148331099428022,8.85188438372628,7.187179006325472,3.450000000000003,10.89,26.03,41.99571428571429,0.8971428571428675,123.6,109.98571428571428,0.0,20.5,138836.0,0,0
2024-02-26,Green Chilli,Bokaro,37.91,45.28,41.34,94.7,HIGH,0.0,22.3,45.4,93488.0,0,26,2,9,0,Rabi,1,0,119.19,41.09428571428572,40.23,46.18,42.73,19.05,45.48,42.36,40.22,43.04666666666666,38.36,39.44857142857143,39.55233333333333,9.126061582084574,7.208981425056752,7.177200339452965,-5.950000000000003,21.179999999999996,-5.25,39.667142857142856,-2.3285714285714363,107.7,110.77142857142857,0.0,15.7,106166.0,0,0
2024-02-27,Green Chilli,Bokaro,30.12,39.84,34.64,107.3,HIGH,0.0,20.9,46.9,109087.0,1,27,2,9,0,Rabi,1,0,119.19,35.49,41.34,40.23,46.18,44.3,44.63,47.59,32.91,42.583333333333336,41.544285714285714,39.152857142857144,39.589666666666666,3.2847265596132322,7.025105998183541,7.183703052063746,1.1100000000000065,-2.9599999999999937,-3.289999999999999,41.09428571428572,1.4271428571428615,94.7,107.84285714285714,0.0,22.3,93488.0,0,0
2024-02-28,Green Chilli,Bokaro,26.75,35.2,30.68,89.8,HIGH,0.0,18.9,42.2,94288.0,2,28,2,9,0,Rabi,1,0,119.19,39.721428571428575,34.64,41.34,40.23,39.96,40.51,43.93,40.88,38.73666666666667,40.16428571428571,38.43928571428571,39.64733333333333,3.904718757020611,6.932730025350451,7.135012231260013,-6.700000000000003,-5.32,-5.869999999999997,35.49,-5.604285714285716,107.3,107.38571428571427,0.0,20.9,109087.0,0,0
2024-02-29,Green Chilli,Bokaro,35.41,43.71,39.27,96.7,HIGH,0.0,17.2,53.7,88285.0,3,29,2,9,0,Rabi,1,0,119.19,38.28857142857142,30.68,34.64,41.34,36.07,46.79,37.73,30.71,35.55333333333334,38.83857142857143,37.73714285714285,39.30733333333333,5.3086138447226485,7.19953142553408,7.315003916530096,-3.960000000000001,-5.390000000000001,-16.11,39.721428571428575,4.231428571428573,89.8,104.0,0.0,18.9,94288.0,0,0
2024-03-01,Green Chilli,Bokaro,34.98,47.04,40.59,114.8,HIGH,0.0,19.1,44.3,118275.0,4,1,3,9,0,Rabi,1,0,119.19,41.73428571428571,39.27,30.68,34.64,42.73,34.71,40.8,47.1,34.86333333333334,39.29571428571428,37.2,39.592666666666666,5.166342539756269,6.737885995793318,7.132765548356134,8.590000000000003,-3.4599999999999937,4.560000000000002,38.28857142857142,-1.4328571428571522,96.7,104.29999999999998,0.0,17.2,88285.0,0,0
2024-03-02,Green Chilli,Bokaro,35.34,46.2,40.39,111.8,HIGH,0.0,20.9,41.7,96861.0,5,2,3,9,1,Rabi,1,0,119.19,40.15714285714286,40.59,39.27,30.68,46.18,36.35,47.33,46.26,36.84666666666667,38.99,37.62,39.37566666666667,4.989542397187679,6.753977745344992,6.9941747600923385,1.3200000000000003,-5.589999999999996,4.240000000000002,41.73428571428571,3.4457142857142884,114.8,104.94285714285715,0.0,19.1,118275.0,0,0
2024-03-03,Green Chilli,Bokaro,40.64,51.28,45.59,111.2,HIGH,0.0,20.7,50.2,107161.0,6,3,3,9,1,Rabi,1,0,119.19,38.33142857142857,40.39,40.59,39.27,40.23,35.29,20.15,42.2,40.083333333333336,38.16285714285714,37.90857142857143,39.18,3.9759263670483787,6.7817910694661006,6.876050891468811,-0.20000000000000284,0.1600000000000037,5.100000000000001,40.15714285714286,-1.577142857142853,111.8,103.25714285714285,0.0,20.9,96861.0,0,0
2024-03-04,Green Chilli,Bokaro,37.39,44.57,40.73,100.9,HIGH,0.0,19.7,40.6,100947.0,0,4,3,10,0,Rabi,1,0,119.19,37.13285714285714,45.59,40.39,40.59,41.34,19.05,45.48,41.46,42.190000000000005,38.92857142857143,38.644285714285715,39.293,4.858550636322969,7.030015553419405,6.954796980105375,5.200000000000003,4.25,26.540000000000003,38.33142857142857,-1.825714285714291,111.2,103.75714285714287,0.0,20.7,107161.0,0,0
2024-03-05,Green Chilli,Bokaro,33.13,45.19,38.74,96.4,HIGH,0.0,20.0,57.5,90436.0,1,5,3,10,0,Rabi,1,0,119.19,40.44428571428572,40.73,45.59,40.39,34.64,44.3,44.63,32.66,42.23666666666667,38.84142857142857,40.19285714285714,39.26866666666667,4.813350976092192,4.1999604917032505,6.948227624829,-4.8600000000000065,6.089999999999996,-3.5700000000000003,37.13285714285714,-1.1985714285714266,100.9,104.64285714285714,0.0,19.7,100947.0,0,0
2024-03-06,Green Chilli,Bokaro,28.21,34.9,31.32,93.0,HIGH,0.0,22.0,46.1,102021.0,2,6,3,10,0,Rabi,1,0,119.19,39.01428571428572,38.74,40.73,45.59,30.68,39.96,40.51,42.36,41.68666666666667,39.42714285714286,39.79571428571428,39.47133333333333,4.452844462759038,4.041608046854083,6.836592584096234,-1.9899999999999949,8.060000000000002,-1.2199999999999989,40.44428571428572,3.3114285714285785,96.4,103.08571428571429,0.0,20.0,90436.0,0,0
2024-03-07,Green Chilli,Bokaro,30.37,40.67,35.16,102.5,HIGH,3.34,19.0,41.0,103945.0,3,7,3,10,0,Rabi,1,0,119.19,38.65,31.32,38.74,40.73,39.27,36.07,46.79,47.59,36.93,39.51857142857143,39.17857142857143,39.10333333333334,4.24503014740543,4.631234853010191,6.971538361540933,-7.420000000000002,-7.950000000000003,-4.75,39.01428571428572,-1.4299999999999997,93.0,103.54285714285713,0.0,22.0,102021.0,0,0
2024-03-08,Green Chilli,Bokaro,33.04,45.1,38.65,92.9,HIGH,0.0,17.9,44.0,93187.0,4,8,3,10,0,Rabi,1,0,119.19,42.19428571428572,35.16,31.32,38.74,40.59,42.73,34.71,43.93,35.07333333333333,38.93142857142857,39.11357142857143,38.68899999999999,4.557848280974367,4.68430211063893,6.817432700121775,3.8399999999999963,-5.430000000000007,-7.57,38.65,-0.364285714285721,102.5,104.37142857142858,3.3400000000000003,19.0,103945.0,0,0
2024-03-09,Green Chilli,Bokaro,33.12,43.68,38.03,81.5,MODERATE,0.0,19.7,42.7,71155.0,5,9,3,10,1,Rabi,1,0,119.19,41.06428571428571,38.65,35.16,31.32,40.39,46.18,36.35,37.73,35.04333333333333,38.65428571428571,38.82214285714286,38.513000000000005,4.498788196625318,4.567462144294192,6.74523696575131,3.490000000000002,-1.740000000000002,-7.530000000000001,42.19428571428572,3.5442857142857207,92.9,101.24285714285715,3.3400000000000003,17.9,93187.0,0,0
2024-03-10,Green Chilli,Bokaro,43.81,56.15,49.55,102.7,HIGH,1.31,19.5,41.3,93540.0,6,10,3,10,1,Rabi,1,0,119.19,35.777142857142856,38.03,38.65,35.16,45.59,40.23,35.29,40.8,37.28,38.31714285714286,38.24,38.523,4.4350111397294,4.047289691405088,6.744258426553505,-0.6199999999999974,-7.560000000000002,-2.1999999999999957,41.06428571428571,-1.1300000000000097,81.5,96.91428571428573,3.3400000000000003,19.7,71155.0,0,0
2024-03-11,Green Chilli,Bokaro,31.88,44.31,37.66,107.0,HIGH,0.0,23.4,41.1,118888.0,0,11,3,11,0,Rabi,1,0,119.19,43.16857142857143,49.55,38.03,38.65,40.73,41.34,19.05,47.33,42.07666666666667,38.88285714285714,38.90571428571429,38.81466666666667,5.613352279121972,5.043645986304441,7.029306991561062,11.519999999999996,8.82,8.209999999999994,35.777142857142856,-5.287142857142854,102.7,95.7,4.65,19.5,93540.0,0,0
2024-03-12,Green Chilli,Bokaro,34.8,46.15,40.08,103.3,HIGH,0.0,18.4,40.2,111453.0,1,12,3,11,0,Rabi,1,0,119.19,41.825714285714284,37.66,49.55,38.03,38.74,34.64,44.3,20.15,41.74666666666667,38.444285714285705,38.642857142857146,38.492333333333335,5.564700821975542,5.002749134335936,6.84465292605556,-11.89,-1.0800000000000054,3.019999999999996,43.16857142857143,7.391428571428577,107.0,96.57142857142857,4.65,23.4,118888.0,0,0
2024-03-13,Green Chilli,Bokaro,40.62,53.52,46.62,76.3,MODERATE,1.72,19.1,39.3,79725.0,2,13,3,11,0,Rabi,1,0,119.19,37.885714285714286,40.08,37.66,49.55,31.32,30.68,39.96,45.48,42.43,38.635714285714286,39.03142857142858,39.156666666666666,5.599508481830818,4.877626877493195,5.90577819528926,2.4200000000000017,8.759999999999998,9.399999999999999,41.825714285714284,-1.3428571428571487,103.3,97.55714285714286,4.65,18.4,111453.0,0,0
2024-03-14,Green Chilli,Bokaro,38.28,49.14,43.33,84.3,MODERATE,0.0,20.4,49.4,89075.0,3,14,3,11,0,Rabi,1,0,119.19,39.28285714285715,46.62,40.08,37.66,35.16,39.27,36.07,44.63,41.45333333333334,40.82142857142857,40.169999999999995,39.19466666666667,5.242688332561925,4.632472342065312,5.951359585803926,6.539999999999999,11.46,7.349999999999994,37.885714285714286,-3.9399999999999977,76.3,95.17142857142858,6.37,19.1,79725.0,0,0
2024-03-15,Green Chilli,Bokaro,36.84,51.55,43.68,75.3,MODERATE,0.0,21.4,55.2,69702.0,4,15,3,11,0,Rabi,1,0,119.19,41.08142857142857,43.33,46.62,40.08,38.65,40.59,42.73,40.51,43.343333333333334,41.988571428571426,40.459999999999994,39.15133333333333,4.6479437337795835,4.698408895982366,5.915040871012403,-3.289999999999999,4.68,2.739999999999995,39.28285714285715,1.3971428571428604,84.3,92.57142857142857,3.0300000000000002,20.4,89075.0,0,0
2024-03-16,Green Chilli,Bokaro,42.11,51.5,46.48,92.3,HIGH,0.0,21.3,44.0,83680.0,5,16,3,11,1,Rabi,1,0,119.19,41.34285714285714,43.68,43.33,46.62,38.03,40.39,46.18,46.79,44.54333333333333,42.707142857142856,40.680714285714295,39.257,4.429460893779708,4.776908340831273,5.968224567051634,0.3500000000000014,5.649999999999999,3.289999999999999,41.08142857142857,1.798571428571421,75.3,90.05714285714285,3.0300000000000002,21.4,69702.0,0,0
2024-03-17,Green Chilli,Bokaro,42.6,58.45,49.97,92.2,HIGH,0.0,20.9,47.9,96367.0,6,17,3,11,1,Rabi,1,0,119.19,46.42714285714286,46.48,43.68,43.33,49.55,45.59,40.23,34.71,44.49666666666667,43.91428571428571,41.115714285714276,39.24666666666666,4.080015756272083,5.01952451668746,5.954985933758737,2.799999999999997,-3.0700000000000003,0.8899999999999935,41.34285714285714,0.26142857142857423,92.3,91.60000000000001,3.0300000000000002,21.3,83680.0,0,0
2024-03-18,Green Chilli,Bokaro,30.0,40.39,34.83,93.4,HIGH,0.0,22.2,43.6,91153.0,0,18,3,12,0,Rabi,1,0,119.19,35.15428571428571,49.97,46.48,43.68,37.66,40.73,41.34,36.35,46.71,43.97428571428571,41.42857142857143,39.755333333333326,4.178603662879318,5.438834514776212,6.200779001858162,3.490000000000002,12.310000000000002,9.240000000000002,46.42714285714286,5.08428571428572,92.2,90.10000000000001,1.7200000000000004,20.9,96367.0,0,0
2024-03-19,Green Chilli,Bokaro,40.38,53.34,46.41,109.0,HIGH,3.61,18.6,51.8,119746.0,1,19,3,12,0,Rabi,1,0,119.19,42.82857142857143,34.83,49.97,46.48,40.08,38.74,34.64,35.29,43.76,43.57,41.00714285714286,39.70466666666667,4.9559391979052,5.718517059748748,6.235675299178242,-15.14,-5.25,-3.9100000000000037,35.15428571428571,-11.272857142857148,93.4,88.15714285714286,1.7200000000000004,22.2,91153.0,0,0
2024-03-20,Green Chilli,Bokaro,38.17,47.39,42.46,97.9,HIGH,0.0,21.1,40.3,103837.0,2,20,3,12,0,Rabi,1,0,119.19,39.28000000000001,46.41,34.83,49.97,46.62,31.32,30.68,19.05,43.73666666666667,44.47428571428571,41.555,40.07533333333333,4.787646802424106,5.850493404570523,6.29443143790103,11.579999999999998,-0.21000000000000085,15.089999999999996,42.82857142857143,7.674285714285716,109.0,88.97142857142856,5.33,18.6,119746.0,0,0
2024-03-21,Green Chilli,Bokaro,50.35,63.55,56.49,78.7,MODERATE,0.0,21.1,50.7,90483.0,3,21,3,12,0,Rabi,1,0,119.19,42.40714285714286,42.46,46.41,34.83,43.33,35.16,39.27,44.3,41.233333333333334,43.879999999999995,42.35071428571428,40.85566666666667,4.734807282244958,5.054830841399638,4.893100479128816,-3.9499999999999957,-0.8699999999999974,7.300000000000004,39.28000000000001,-3.548571428571421,97.9,92.05714285714285,3.6100000000000008,21.1,103837.0,0,0
2024-03-22,Green Chilli,Bokaro,40.97,55.09,47.54,97.2,HIGH,0.51,19.5,47.6,98394.0,4,22,3,12,0,Rabi,1,0,119.19,40.51571428571429,56.49,42.46,46.41,43.68,38.65,40.59,39.96,48.45333333333334,45.76,43.87428571428571,41.26199999999999,6.689284964279305,5.869624171281163,5.638373084009504,14.030000000000001,12.810000000000002,17.840000000000003,42.40714285714286,3.12714285714285,78.7,91.25714285714287,3.6100000000000003,21.1,90483.0,0,0
2024-03-23,Green Chilli,Bokaro,28.67,39.35,33.64,95.2,HIGH,1.89,20.3,41.4,81147.0,5,23,3,12,1,Rabi,1,0,119.19,41.10285714285715,47.54,56.49,42.46,46.48,38.03,40.39,36.07,48.830000000000005,46.31142857142857,44.50928571428572,41.51466666666666,6.648216373763777,5.740420065419665,5.746810649715044,-8.950000000000003,1.0600000000000023,9.509999999999998,40.51571428571429,-1.8914285714285697,97.2,94.38571428571427,4.12,19.5,98394.0,0,0
2024-03-24,Green Chilli,Bokaro,49.48,58.81,53.82,104.6,HIGH,4.31,25.1,43.5,94257.0,6,24,3,12,1,Rabi,1,0,119.19,46.652857142857144,33.64,47.54,56.49,49.97,49.55,45.59,42.73,45.89000000000001,44.47714285714285,44.19571428571429,41.43366666666667,8.187156026943892,6.221335145208878,5.842526309582269,-13.899999999999999,-16.33,-15.909999999999997,41.10285714285715,0.5871428571428581,95.2,94.8,6.01,20.3,81147.0,0,0
